Spis treści;;;;;;;;;;;;;;
;Tabela 1: Liczba hospitalizacji i liczba punktów za hospitalizacje wg rozpoznań i sekcji produktów;;;;;;;;;;;;;
;Rozdział ICD10;Województwo;Poziom szpitala w ramach ryczałtu PSZ;Sekcja JGP;Maj 2019;;Kwiecień 2019;;Maj 2018;;Maj 2019 / Kwiecień 2019;;Maj 2019 / Maj 2018;
;Rozdział ICD10;Województwo;Poziom szpitala w ramach ryczałtu PSZ;Sekcja JGP;Hospitalizacje;Wartość;Hospitalizacje;Wartość;Hospitalizacje;Wartość;Zmiana liczby hospitalizacji;Zmiana wartości;Zmiana liczby hospitalizacji;Zmiana wartości
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;A Choroby układu nerwowego;1;4414;2;8828;2;6246;-0.5;-0.5;-0.5;-0.293308
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;D Choroby układu oddechowego;1;2064;;;;;;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;F Choroby przewodu pokarmowego;15;85653;21;226221.45;28;135895.52;-0.285714;-0.621375;-0.464286;-0.369714
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;7;14443;12;38865;8;20821;-0.416667;-0.62838;-0.125;-0.306325
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;H Choroby układu mięśniowo-szkieletowego;2;7566;2;7566;2;7138;0;0;0;5.9960773325861597E-2
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;;;;;2;3245;;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;402;1054121;445;1178610;322;744952.64;-9.6629213483146001E-2;-0.105624;0.248447;0.415017
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;70;504687.43;44;465480.84;38;262689.32;0.590909;8.4228149970684105E-2;0.842105;0.921233
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL II STOPNIA;A Choroby układu nerwowego;;;;;1;4164;;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL II STOPNIA;D Choroby układu oddechowego;;;1;1120;;;;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;17;112362.88;15;83212;11;57391.84;0.133333;0.350321;0.545455;0.95782
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL II STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;;;;;1;5300;;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL II STOPNIA;L Choroby układu moczowo-płciowego;2;2866;1;2761.2;1;1352;1;3.7954512530783899E-2;1;1.119822
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;150;409059;139;383445;103;250289;7.9136690647481994E-2;6.6799671400070496E-2;0.456311;0.634347
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL II STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;29;258577.32;20;100064.8;18;81681.88;0.45;1.584099;0.611111;2.165663
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;A Choroby układu nerwowego;5;22070;4;17656;10;41640;0.25;0.25;-0.5;-0.469981
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;D Choroby układu oddechowego;2;3570;1;1785;1;1785;1;1;1;1
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;F Choroby przewodu pokarmowego;19;91225.96;27;113485;31;123317;-0.296296;-0.196141;-0.387097;-0.260232
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;89;271035.33;79;339718.4872;76;276362.449;0.126582;-0.202177;0.171053;-1.92758423558477E-2
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;H Choroby układu mięśniowo-szkieletowego;;;2;5675;4;10708;;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;J Choroby piersi, skóry i oparzenia;3;5657;6;13758;6;12978;-0.5;-0.588821;-0.5;-0.564108
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;L Choroby układu moczowo-płciowego;;;1;1777;;;;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;225;602619;282;761635.4;135;330101;-0.202128;-0.208783;0.666667;0.825559
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;73;382407.6;80;372359.01;94;527928.46;-8.7499999999999994E-2;2.6986294758920799E-2;-0.223404;-0.275645
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;A Choroby układu nerwowego;1;4600;;;1;4164;;;0;0.104707
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;;;1;1261;;;;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;D Choroby układu oddechowego;;;1;4128;;;;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;E Choroby układu krążenia;;;1;14963.36;;;;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;F Choroby przewodu pokarmowego;13;94355.36;11;80360;11;275349.15;0.181818;0.174158;0.181818;-0.657325
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;3;9975;10;32332;5;15685;-0.7;-0.691482;-0.4;-0.364042
